state,county,poverty_percent_all_ages,median_household_income
CA,Alameda,11.5,"81,462"
CA,Alpine,19,"50,882"
CA,Amador,13.1,"55,879"
CA,Butte,21.4,"45,369"
CA,Calaveras,13,"52,471"
CA,Colusa,13.2,"51,118"
CA,Contra Costa,10.2,"83,036"
CA,Del Norte,23.3,"38,963"
CA,El Dorado,9.1,"75,575"
CA,Fresno,25.2,"46,608"
CA,Glenn,18.5,"43,584"
CA,Humboldt,20.9,"40,739"
CA,Imperial,24.3,"39,925"
CA,Inyo,12.4,"51,697"
CA,Kern,21.9,"51,150"
CA,Kings,22.4,"46,440"
CA,Lake,20.5,"37,993"
CA,Lassen,17.1,"54,670"
CA,Los Angeles,16.7,"59,045"
CA,Madera,22.6,"46,593"
CA,Marin,7.5,"99,868"
CA,Mariposa,15.2,"44,595"
CA,Mendocino,20.3,"43,237"
CA,Merced,25.9,"42,879"
CA,Modoc,20.3,"38,402"
CA,Mono,11.2,"53,992"
CA,Monterey,15.3,"60,047"
CA,Napa,10.1,"72,683"
CA,Nevada,12.4,"57,627"
CA,Orange,12.7,"78,002"
CA,Placer,8.6,"76,203"
CA,Plumas,13.8,"46,813"
CA,Riverside,16.2,"57,895"
CA,Sacramento,16.9,"58,735"
CA,San Benito,9.3,"76,521"
CA,San Bernardino,18.9,"53,526"
CA,San Diego,13.9,"67,053"
CA,San Francisco,12.4,"90,527"
CA,San Joaquin,17.5,"53,341"
CA,San Luis Obispo,14.4,"61,761"
CA,San Mateo,8.4,"101,133"
CA,Santa Barbara,15.6,"63,049"
CA,Santa Clara,8.3,"102,191"
CA,Santa Cruz,15.4,"64,841"
CA,Shasta,19,"45,943"
CA,Sierra,13.8,"47,535"
CA,Siskiyou,22.6,"37,447"
CA,Solano,12,"67,202"
CA,Sonoma,11,"66,463"
CA,Stanislaus,19.5,"51,949"
CA,Sutter,17.5,"50,810"
CA,Tehama,22.5,"40,292"
CA,Trinity,19.7,"37,669"
CA,Tulare,27.2,"42,637"
CA,Tuolumne,14.5,"53,136"
CA,Ventura,9.9,"79,285"
CA,Yolo,17.5,"58,766"
CA,Yuba,21.6,"46,500"
