state,county,poverty_percent_all_ages,median_household_income
TX,Anderson,21,"43,062"
TX,Andrews,10.4,"72,184"
TX,Angelina,17.9,"45,428"
TX,Aransas,18.2,"41,560"
TX,Archer,9.5,"60,414"
TX,Armstrong,10.4,"55,198"
TX,Atascosa,20.4,"49,047"
TX,Austin,12.7,"57,960"
TX,Bailey,15.8,"38,299"
TX,Bandera,13.3,"53,662"
TX,Bastrop,12.7,"56,866"
TX,Baylor,17.4,"38,231"
TX,Bee,23.4,"42,540"
TX,Bell,15.9,"48,894"
TX,Bexar,15.6,"52,230"
TX,Blanco,10.9,"53,449"
TX,Borden,10.2,"63,358"
TX,Bosque,15,"47,135"
TX,Bowie,18.6,"42,515"
TX,Brazoria,10.6,"71,230"
TX,Brazos,24,"44,767"
TX,Brewster,14.8,"41,785"
TX,Briscoe,16.6,"42,261"
TX,Brooks,31.7,"30,124"
TX,Brown,18.2,"41,981"
TX,Burleson,15.5,"50,113"
TX,Burnet,13.2,"53,086"
TX,Caldwell,17.8,"46,093"
TX,Calhoun,16.8,"50,873"
TX,Callahan,13,"44,450"
TX,Cameron,32,"34,044"
TX,Camp,18.8,"40,768"
TX,Carson,8.5,"61,083"
TX,Cass,20,"39,274"
TX,Castro,18.8,"43,372"
TX,Chambers,9.6,"77,282"
TX,Cherokee,19,"41,355"
TX,Childress,22.3,"37,732"
TX,Clay,12.3,"51,234"
TX,Cochran,22.5,"39,398"
TX,Coke,13.5,"42,498"
TX,Coleman,20,"35,922"
TX,Collin,6.6,"86,823"
TX,Collingsworth,19,"38,775"
TX,Colorado,14.5,"47,783"
TX,Comal,8.3,"68,362"
TX,Comanche,16.8,"41,155"
TX,Concho,26.4,"39,945"
TX,Cooke,13.2,"54,534"
TX,Coryell,16,"45,989"
TX,Cottle,21.4,"35,602"
TX,Crane,9.6,"65,883"
TX,Crockett,12.9,"53,903"
TX,Crosby,22.8,"34,562"
TX,Culberson,23.9,"35,192"
TX,Dallam,12,"47,559"
TX,Dallas,17.9,"51,824"
TX,Dawson,21.9,"42,589"
TX,Deaf Smith,19.4,"45,713"
TX,Delta,18.5,"42,846"
TX,Denton,8,"75,898"
TX,De witt,19.2,"47,365"
TX,Dickens,22.2,"39,169"
TX,Dimmit,24.4,"40,040"
TX,Donley,20.2,"36,862"
TX,Duval,25.4,"36,986"
TX,Eastland,18.1,"41,944"
TX,Ector,12.6,"62,519"
TX,Edwards,22.2,"37,567"
TX,Ellis,10.9,"66,811"
TX,El Paso,20.3,"43,101"
TX,Erath,17.7,"45,663"
TX,Falls,23.9,"37,912"
TX,Fannin,16.4,"43,733"
TX,Fayette,12,"53,173"
TX,Fisher,15.2,"43,082"
TX,Floyd,21.8,"36,859"
TX,Foard,17.8,"36,466"
TX,Fort Bend,7,"95,117"
TX,Franklin,16.4,"43,569"
TX,Freestone,15.8,"48,057"
TX,Frio,29.3,"38,809"
TX,Gaines,13.3,"53,297"
TX,Galveston,14,"66,173"
TX,Garza,26.8,"54,606"
TX,Gillespie,10.4,"54,180"
TX,Glasscock,7.8,"74,854"
TX,Goliad,14.1,"52,612"
TX,Gonzales,16.4,"43,519"
TX,Gray,13,"49,415"
TX,Grayson,15.2,"48,164"
TX,Gregg,17,"48,561"
TX,Grimes,17.8,"44,226"
TX,Guadalupe,10.3,"64,252"
TX,Hale,20.3,"41,999"
TX,Hall,25.5,"32,158"
TX,Hamilton,15.4,"46,181"
TX,Hansford,11.7,"55,215"
TX,Hardeman,18,"38,154"
TX,Hardin,11.8,"56,201"
TX,Harris,16.6,"56,670"
TX,Harrison,18.5,"46,593"
TX,Hartley,9.9,"66,231"
TX,Haskell,22.3,"36,085"
TX,Hays,13.6,"61,121"
TX,Hemphill,8.6,"71,177"
TX,Henderson,16.2,"44,944"
TX,Hidalgo,31.1,"35,441"
TX,Hill,17.8,"44,965"
TX,Hockley,15.9,"48,768"
TX,Hood,9.8,"61,371"
TX,Hopkins,15.9,"43,284"
TX,Houston,27,"37,536"
TX,Howard,19.1,"47,148"
TX,Hudspeth,25,"33,048"
TX,Hunt,16.5,"46,632"
TX,Hutchinson,14.2,"53,085"
TX,Irion,7.9,"64,777"
TX,Jack,17.1,"51,711"
TX,Jackson,13.6,"53,667"
TX,Jasper,15.7,"46,541"
TX,Jeff Davis,13.3,"47,654"
TX,Jefferson,16.9,"47,620"
TX,Jim Hogg,23.2,"36,048"
TX,Jim Wells,22.1,"43,028"
TX,Johnson,11.4,"58,685"
TX,Jones,21.4,"41,871"
TX,Karnes,20,"47,129"
TX,Kaufman,13.1,"60,438"
TX,Kendall,8,"79,108"
TX,Kenedy,16.5,"40,082"
TX,Kent,11.3,"45,338"
TX,Kerr,14.3,"47,389"
TX,Kimble,20,"37,448"
TX,King,11,"69,588"
TX,Kinney,20.6,"40,840"
TX,Kleberg,24.3,"40,066"
TX,Knox,19.2,"43,238"
TX,Lamar,18.8,"39,433"
TX,Lamb,21.8,"41,807"
TX,Lampasas,13.9,"50,985"
TX,La Salle,27.9,"42,500"
TX,Lavaca,12.2,"49,752"
TX,Lee,12.4,"54,747"
TX,Leon,13.8,"47,740"
TX,Liberty,15.8,"53,552"
TX,Limestone,19.1,"40,655"
TX,Lipscomb,9.7,"60,955"
TX,Live Oak,15.8,"53,184"
TX,Llano,14.8,"46,366"
TX,Loving,14.3,"59,499"
TX,Lubbock,20.1,"47,139"
TX,Lynn,20.5,"38,922"
TX,McCulloch,18.6,"39,900"
TX,McLennan,19.9,"46,264"
TX,McMullen,10,"60,709"
TX,Madison,19.2,"40,857"
